,,,,,,,
1,4,1,,,,,
2,4,1.01882,,,,,
3,3.99999,1.02882,,,,,
4,3.99999,1.03882,,,,,
5,3.99999,1.04882,,,,,
6,3.99998,1.05882,,,,,
7,3.99998,1.06882,,,,,
8,3.99997,1.07882,,,,,
9,3.99997,1.08882,,,,,
10,3.99996,1.09882,,,,,
11,3.99995,1.10882,,,,,
12,3.99994,1.11882,,,,,
13,3.99993,1.12882,,,,,
14,3.99991,1.13882,,,,,
15,3.9999,1.14882,,,,,
16,3.99988,1.15882,,,,,
17,3.99987,1.16882,,,,,
18,3.99985,1.17882,,,,,
19,3.99983,1.18882,,,,,
20,3.9998,1.19882,,,,,
21,3.99978,1.20882,,,,,
22,3.99975,1.21882,,,,,
23,3.99972,1.22882,,,,,
24,3.99969,1.23882,,,,,
25,3.99966,1.24882,,,,,
26,3.99963,1.25882,,,,,
27,3.99959,1.26882,,,,,
28,3.99955,1.27882,,,,,
29,3.99951,1.28882,,,,,
30,3.99947,1.29882,,,,,
31,3.99943,1.30882,,,,,
32,3.99938,1.31882,,,,,
33,3.99933,1.32882,,,,,
34,3.99928,1.33882,,,,,
35,3.99923,1.34882,,,,,
36,3.99918,1.35882,,,,,
37,3.99912,1.36882,,,,,
38,3.99906,1.37882,,,,,
39,3.999,1.38882,,,,,
40,3.99894,1.39882,,,,,
41,3.99887,1.40882,3.99894,1.40882,,,
42,3.9988,1.41882,,,,,
43,3.99873,1.42882,,,,,
44,3.99866,1.43882,,,,,
45,3.99858,1.44882,,,,,
46,3.9985,1.45882,,,,,
47,3.99842,1.46882,,,,,
48,3.99834,1.47882,,,,,
49,3.99826,1.48882,,,,,
50,3.99817,1.49882,,,,,
51,3.99808,1.50882,,,,,
52,3.99798,1.51882,,,,,
53,3.99789,1.52881,,,,,
54,3.99779,1.53881,,,,,
55,3.99768,1.54881,,,,,
56,3.99758,1.55881,,,,,
57,3.99747,1.56881,,,,,
58,3.99736,1.57881,,,,,
59,3.99725,1.58881,,,,,
60,3.99713,1.59881,,,,,
61,3.99701,1.60881,,,,,
62,3.99688,1.61881,,,,,
63,3.99676,1.62881,,,,,
64,3.99663,1.63881,,,,,
65,3.99649,1.64881,,,,,
66,3.99635,1.65881,,,,,
67,3.99621,1.6688,,,,,
68,3.99607,1.6788,,,,,
69,3.99592,1.6888,,,,,
70,3.99576,1.6988,,,,,
71,3.9956,1.7088,,,,,
72,3.99544,1.7188,,,,,
73,3.99528,1.7288,,,,,
74,3.99511,1.7388,,,,,
75,3.99493,1.74879,,,,,
76,3.99475,1.75879,,,,,
77,3.99457,1.76879,,,,,
78,3.99438,1.77879,,,,,
79,3.99418,1.78879,,,,,
80,3.99398,1.79879,,,,,
81,3.99377,1.80878,3.99398,1.80878,,,
82,3.99356,1.81878,,,,,
83,3.99335,1.82878,,,,,
84,3.99312,1.83878,,,,,
85,3.9929,1.84877,,,,,
86,3.99266,1.85877,,,,,
87,3.99242,1.86877,,,,,
88,3.99217,1.87876,,,,,
89,3.99192,1.88876,,,,,
90,3.99166,1.89876,,,,,
91,3.99139,1.90875,,,,,
92,3.99111,1.91875,,,,,
93,3.99083,1.92875,,,,,
94,3.99054,1.93874,,,,,
95,3.99024,1.94874,,,,,
96,3.98994,1.95873,,,,,
97,3.98962,1.96873,,,,,
98,3.9893,1.97872,,,,,
99,3.98897,1.98872,,,,,
100,3.98863,1.99871,,,,,
101,3.98828,2.00871,,,,,
102,3.98791,2.0187,,,,,
103,3.98755,2.02869,,,,,
104,3.98716,2.03869,,,,,
105,3.98677,2.04868,,,,,
106,3.98637,2.05867,,,,,
107,3.98596,2.06866,,,,,
108,3.98554,2.07865,,,,,
109,3.9851,2.08864,,,,,
110,3.98465,2.09863,,,,,
111,3.98419,2.10862,,,,,
112,3.98372,2.11861,,,,,
113,3.98324,2.1286,,,,,
114,3.98274,2.13859,,,,,
115,3.98222,2.14857,,,,,
116,3.9817,2.15856,,,,,
117,3.98116,2.16854,,,,,
118,3.9806,2.17853,,,,,
119,3.98003,2.18851,,,,,
120,3.97945,2.1985,,,,,
121,3.97888,2.20848,3.97945,2.20848,,,
122,3.97831,2.21846,,,,,
123,3.97773,2.22845,,,,,
124,3.97716,2.23843,,,,,
125,3.97658,2.24841,,,,,
126,3.97601,2.2584,,,,,
127,3.97543,2.26838,,,,,
128,3.97486,2.27836,,,,,
129,3.97428,2.28835,,,,,
130,3.97371,2.29833,,,,,
131,3.97313,2.30831,,,,,
132,3.97255,2.3183,,,,,
133,3.97198,2.32828,,,,,
134,3.9714,2.33826,,,,,
135,3.97083,2.34825,,,,,
136,3.97025,2.35823,,,,,
137,3.96968,2.36822,,,,,
138,3.9691,2.3782,,,,,
139,3.96853,2.38818,,,,,
140,3.96795,2.39817,,,,,
141,3.96738,2.40815,,,,,
142,3.96681,2.41813,,,,,
143,3.96623,2.42812,,,,,
144,3.96566,2.4381,,,,,
145,3.96509,2.44808,,,,,
146,3.96451,2.45807,,,,,
147,3.96354,2.46802,,,,,
148,3.96291,2.478,,,,,
149,3.96299,2.488,,,,,
150,3.96302,2.498,,,,,
151,3.96295,2.508,,,,,
152,3.96283,2.518,,,,,
153,3.96262,2.528,,,,,
154,3.96236,2.53799,,,,,
155,3.96203,2.54799,,,,,
156,3.96165,2.55798,,,,,
157,3.9612,2.56797,,,,,
158,3.9607,2.57796,,,,,
159,3.96014,2.58794,,,,,
160,3.95954,2.59792,,,,,
161,3.95875,2.60789,3.95954,2.60789,,,
162,3.96019,2.61779,,,,,
163,3.96494,2.62659,,,,,
